,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
505,50990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
508,62190,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
509,24390,Intel Celeron Dual Core Processor,4,64,512 GB ,Chrome,DDR4,39.62
512,36990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
513,159990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 10,DDR4,39.62
514,34490,Intel Core i3 Processor,4,64,256 GB ,Windows 11,DDR4,35.56
515,99990,AMD Ryzen 9 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
518,79990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
522,41490,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
523,206581,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
524,59990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
525,62990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
528,194990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
529,62990,AMD Ryzen 5 Hexa Core Processor,8,64,256 GB ,Windows 10,DDR4,39.62
532,61990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
533,105990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
534,155490,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
535,19990,Intel Celeron Dual Core Processor,4,64,128 GB ,Windows 11,DDR4,35.81
538,33499,Intel Core i3 Processor,4,64,512 GB ,Windows 10,DDR4,39.62
542,63990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
543,124990,Intel Core i9 Processor,16,64,1 TB ,Windows 11,DDR4,39.62
544,21990,Intel Celeron Dual Core Processor,4,64,512 GB ,Windows 11,DDR4,35.56
545,30100,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 10,DDR4,35.56
548,199990,Intel Core i7 Processor,32,64,1 TB ,Windows 11,DDR5,39.62
549,61130,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
552,40990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
553,75990,Intel Core i5 Processor,8,64,1 TB ,Windows 10,DDR4,39.62
554,46890,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
559,19990,Intel Celeron Dual Core Processor,4,64,512 GB ,Windows 11,DDR4,35.56
562,89990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
563,59790,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
564,125990,Intel Core i9 Processor,16,64,1 TB ,Windows 11,DDR4,39.62
565,249990,AMD Ryzen 7 Octa Core Processor,32,64,2 TB ,Windows 11,DDR5,39.62
568,149990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
569,36990,Intel Pentium Quad Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
572,85990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
573,60990,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 10,DDR4,35.56
574,87900,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR5,39.62
575,27490,AMD Dual Core Processor,4,64,512 GB ,Windows 10,DDR4,39.62
580,28999,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
582,117990,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
585,61497,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
586,70400,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
588,69000,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
590,149990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
592,96579,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR5,39.62
593,101990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
596,94990,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR5,39.62
597,314990,Intel Core i7 Processor,32,64,2 TB ,Windows 11,DDR5,39.62
598,46900,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,38.1
602,331990,Intel Core i9 Processor,32,64,2 TB ,Windows 11,DDR5,39.62
603,116490,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
604,64590,AMD Ryzen 3 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
605,137990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
608,55690,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
609,109990,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
612,79990,Intel Core i7 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
613,130500,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
614,361990,AMD Ryzen 9 Octa Core Processor,32,64,2 TB ,Windows 11,DDR5,39.62
615,211990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
618,39890,Intel Core i3 Processor,4,64,256 GB ,Windows 10,DDR4,38.1
619,139990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR4,39.62
622,99990,Intel Core i7 Processor,16,64,256 GB ,Windows 10,DDR4,39.62
623,66700,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
624,68990,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
625,434830,Intel Core i9 Processor,32,64,1 TB ,Windows 11,DDR4,39.62
628,345390,Intel Core i9 Processor,32,64,1 TB ,Windows 10,DDR4,39.62
629,105822,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
632,28490,Intel Celeron Dual Core Processor,4,64,512 GB ,Chrome,DDR4,35.56
633,66990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
634,86999,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
635,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
638,23250,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 11,DDR4,35.56
639,42390,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
642,58990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
643,110990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
644,74590,Intel Core i5 Processor,28,64,128 GB ,Windows 10,DDR4,39.62
645,71990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
648,84990,Intel Core i5 Processor,16,64,512 GB ,Windows 10,DDR4,35.56
649,119990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,35.56
652,214990,Intel Core i7 Processor,32,64,1 TB ,Windows 10,DDR4,39.62
653,48790,Intel Core i3 Processor,8,64,512 GB ,Windows 10,DDR4,35.56
654,76000,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
655,224990,AMD Ryzen 9 Octa Core Processor,32,64,1 TB ,Windows 10,DDR4,35.56
658,49990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
659,164990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR5,35.56
662,31490,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
663,48077,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
664,154990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 10,DDR4,39.62
665,224990,Intel Core i7 Processor,32,64,1 TB ,Windows 10,DDR4,39.62
668,44990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
669,65990,Intel Core i5 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
672,31990,Intel Core i3 Processor,8,64,512 GB ,Windows 10,DDR4,35.81
673,38980,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
674,68990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
675,43090,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
682,49348,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
683,221774,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
684,73990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
685,77990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
688,214790,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
689,199990,Intel Core i7 Processor,16,64,512 GB ,Windows 10,DDR4,39.62
693,52414,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,35.56
694,179990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR5,39.62
695,25990,Intel Celeron Dual Core Processor,4,64,512 GB ,Chrome,DDR4,35.56
698,80615,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
699,155990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
702,49990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
703,157990,Intel Core i7 Processor,16,64,1 TB ,Windows 11,DDR4,39.62
704,92990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
705,171990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
709,151990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,35.56
712,233990,Intel Core i7 Processor,16,64,2 TB ,Windows 10,DDR3,35.56
713,76590,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR5,35.56
714,90000,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 10,DDR4,39.62
715,23490,Intel Celeron Dual Core Processor,4,64,512 GB ,Chrome,DDR4,35.56
718,125990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR5,35.56
719,50990,Intel Core i5 Processor,8,64,256 GB ,Windows 10,DDR4,39.62
