,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
93,41890,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
94,30428,Intel Pentium Silver Processor,8,64,256 GB ,Windows 11,DDR4,39.62
95,34990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
98,88990,Apple M1 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
100,65990,Intel Core i7 Processor,8,64,512 GB ,Windows 10,DDR4,39.62
101,33490,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
102,60990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
105,59990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
106,114990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
108,119990,Intel Core i7 Processor,16,64,1 TB ,Windows 10,DDR4,39.62
109,42990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
110,89990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR5,39.62
112,79990,AMD Ryzen 7 Octa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
113,70990,Intel Core i5 Processor,8,64,1 TB ,Windows 11,DDR4,39.62
114,33900,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
117,52990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
118,124990,Apple M1 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
120,31990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
121,66990,AMD Ryzen 5 Hexa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
122,89081,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
124,104990,Apple M1 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
125,53490,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
126,45990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
128,45990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
129,51990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
130,75990,AMD Ryzen 7 Octa Core Processor,16,64,512 GB ,Windows 11,DDR4,39.62
132,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
133,78800,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
134,29390,AMD Athlon Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
136,30990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
137,62490,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
138,89990,Intel Core i7 Processor,16,64,512 GB ,Windows 11,DDR4,35.56
140,58899,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
141,85990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
142,33099,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
145,63490,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
